,item_id,i_name,i_category,r_substitute,r_buy_together,r_complement
25,2057,"3M  Double-Sided Tape with Dispenser, Permanent, 1/2 X 250 Inches, Clear (MMM136)",35,"[199, 1048, 222, 505, 859, 1047, 263, 484, 170, 1446, 19, 1456, 220]",[],"[1047, 378, 1473, 505, 2397, 34, 633, 170, 1134, 1481, 859, 699, 1446, 199, 1212, 1456, 220, 1048, 1346, 941, 800, 1644, 2237, 484, 2168, 19, 263]"
26,600,Belkin Standard Mouse Pad -Blue,11,"[834, 536, 936, 704, 2110, 1205, 1891, 155, 1974, 997]",[],"[516, 1676, 115, 840, 49, 494, 834, 378, 2088, 505, 34, 1662, 1205, 745, 966, 2087, 587, 997, 1933, 1583, 850, 1264, 421, 835, 536, 936, 1396, 484, 2116, 736, 1713, 557, 589, 139]"
27,1205,Belkin Premium Mouse Pad 215 X 265 X 3MM (Blue),11,"[834, 536, 936, 600, 155, 1974, 997]",[],"[1588, 1398, 115, 49, 494, 378, 1473, 2088, 600, 505, 1260, 1320, 745, 966, 2087, 997, 1807, 1583, 421, 1235, 1322, 1212, 536, 936, 2237, 1419, 484, 1396, 19, 1596, 2214, 835, 850, 139]"
28,392,"Avery Easy Peel Return Address Labels for Laser Printers, 0.5 x 1.75 Inches, White, Pack of 2000 (05267)",22,"[1447, 2004, 433, 152, 109, 460, 249, 1759, 334, 2095, 112, 142, 304, 1018, 439, 463]",[],"[516, 1676, 460, 334, 313, 151, 1800, 1328, 49, 304, 439, 494, 378, 407, 1103, 1625, 1470, 112, 1231, 142, 2087, 109, 463, 249, 1807, 152, 171, 2325, 1684, 421, 1322, 47, 484, 2116, 1234, 769, 736, 263, 139]"
29,835,Belkin Wave Rest Gel-Filled Cushion Wrist Pad -Black,11,[],[],"[1588, 836, 49, 834, 630, 1239, 704, 1320, 1361, 745, 1479, 587, 1090, 1583, 964, 1580, 536, 843, 2116, 740, 850, 1614]"
30,112,"Avery Easy Peel Address Labels, Inkjet Printers, White, 1 x 2.5/8 Inch, Box of 750 labels (25 Sheets / 30 per Sheet) (08160)",22,"[1447, 320, 433, 460, 334, 304, 439, 1625, 133, 142, 1018, 109, 249, 463, 392, 1684, 2350, 2004, 335]",[],"[1447, 433, 38, 460, 1160, 840, 2028, 1509, 1628, 49, 439, 494, 2088, 407, 1625, 94, 635, 142, 109, 949, 392, 463, 1615, 1807, 1394, 152, 1276, 1264, 114, 2350, 466, 1295, 941, 368, 47, 1644, 2095, 484, 2116, 547, 2168, 736, 1905, 1713, 557, 1676]"
31,249,"Avery Easy Peel Address Labels for Laser Printers, 1 x 2.625 Inches, White, Pack of 750 (05260)",22,"[1447, 433, 460, 1800, 304, 439, 133, 1625, 112, 142, 1018, 109, 463, 392, 152, 607, 1684, 7, 2004]",[],"[433, 115, 460, 840, 267, 334, 2028, 151, 49, 357, 494, 378, 2068, 407, 1625, 2227, 112, 2101, 142, 1231, 109, 587, 392, 1807, 998, 152, 86, 1370, 421, 1817, 1322, 466, 2381, 1462, 47, 214, 2237, 484, 2116, 19, 736]"
32,1447,"Avery Easy Peel Mailing Labels for Ink Jet Printers, 1 x 2-5/8 Inches, Clear, Pack of 300 (18660)",22,"[335, 1018, 320, 433, 460, 463, 133, 1625, 334, 392, 607, 1370, 112, 142, 304, 109, 249]",[],"[320, 1783, 1329, 946, 38, 941, 368, 460, 1644, 267, 75, 2028, 56, 1370, 112, 142, 745, 111]"
33,1318,"Fellowes Booklift Copyholder, Platinum (21100)",11,"[629, 1675, 1192]",[],"[629, 1192, 1228, 421, 1015, 1208, 589]"
34,460,"Avery Shipping Labels with TrueBlock Technology, 2 x 4, White, 250/Pack, PK - AVE8163",22,"[1447, 320, 433, 38, 334, 1379, 1800, 304, 1421, 1625, 1816, 112, 1231, 142, 1018, 109, 249, 463, 152, 466, 382, 335, 2384]",[],"[1447, 320, 433, 38, 1676, 840, 334, 49, 304, 494, 407, 1662, 1625, 2227, 112, 1231, 142, 109, 587, 249, 1807, 75, 1370, 1086, 421, 1817, 1322, 1212, 2065, 941, 368, 484, 736, 335, 557, 850, 139]"
35,142,"Avery Easy Peel Return Address Labels for Inkjet Printers, 0.5 x 1.75 Inches, White, Pack of 2000 (08167)",22,"[1447, 433, 109, 460, 1759, 1625, 133, 334, 392, 1684, 112, 249, 304, 1018, 439, 463]",[],"[1447, 320, 946, 38, 893, 460, 334, 2028, 355, 1800, 49, 1628, 1309, 439, 304, 494, 1473, 2290, 1611, 133, 1625, 112, 2101, 1231, 1018, 109, 392, 853, 1807, 1759, 699, 75, 1264, 466, 1322, 1286, 941, 1644, 2082, 1801, 484, 733, 736, 335, 263]"
36,1611,"Avery Note Cards, 4.25 x 5.5 Inches, Matte, White, Box of 60 (08315)",25,"[946, 1739, 2094, 941, 1644, 75, 1465, 355, 1799, 1652]",[],"[1447, 320, 946, 267, 2028, 1465, 444, 355, 49, 1421, 357, 1739, 224, 1625, 1610, 960, 112, 22, 75, 770, 1568, 1799, 649, 2094, 941, 1644, 335, 263]"
37,439,"Avery File Folder Labels for Laser and Inkjet Printers, 0.6 x 3.43 Inches, White, Pack of 750 (08366)",22,"[1807, 421, 249, 13, 392, 112, 736, 142, 1800, 313, 109, 463]",[],"[1514, 516, 1676, 115, 1376, 361, 313, 49, 1628, 1309, 494, 378, 1378, 1473, 2088, 407, 633, 112, 142, 966, 2087, 109, 587, 2078, 1807, 1264, 421, 1322, 214, 2082, 2237, 484, 2116, 1234, 736, 2214, 557, 1368, 589, 139]"
38,1796,"DYMO 30256 LabelWriter Self-Adhesive Large Shipping Labels, 2 5/16- by 4-inch, White, Roll of 300",22,"[833, 1276, 898, 1845, 1206, 1794, 1560, 1420, 2278, 912, 2289]",[],"[833, 2415, 151, 1628, 2289, 1421, 449, 1353, 1206, 1794, 1009, 2278, 911, 253, 1276, 171, 1933, 1370, 1560, 421, 1817, 1322, 1212, 2099, 912, 1295, 484, 2116, 769]"
39,133,"Avery Easy Peel Address Labels for Inkjet Printers, 1 x 2.625 Inches, Clear, Pack of 750 (08660)",22,"[1447, 335, 1018, 320, 433, 460, 249, 1625, 607, 334, 392, 7, 112, 142, 304, 109, 242]",[],"[1447, 516, 433, 1141, 334, 1628, 49, 439, 378, 407, 2227, 960, 112, 142, 109, 1807, 171, 75, 1264, 1370, 421, 1799, 1322, 1065, 2381, 941, 368, 47, 484, 2116, 733, 335, 2214, 1335, 1368]"
40,1206,"DYMO 30252 LabelWriter Self-Adhesive Address Labels, 1 1/8- by 3 1/2-inch, White, Roll of 350",22,"[833, 253, 1276, 1845, 1794, 1560, 1420, 2278, 912, 1796]",[],"[833, 313, 151, 2289, 1309, 494, 2088, 407, 359, 1794, 2278, 1807, 998, 1276, 171, 2291, 1264, 1370, 1560, 1322, 912, 1295, 2237, 484, 547, 769, 1905, 1368, 1796]"
41,548,"Epson Premium Photo Paper GLOSSY (11x17 Inches, 20 Sheets) (S041290)",25,"[1493, 938, 952, 770, 549]",[],"[938, 179, 823, 281, 681, 694, 1353, 770, 182]"
42,997,Belkin Standard Mouse Pad (Gray),11,"[834, 536, 1893, 936, 600, 704, 2110, 1205, 1891, 155, 1974]",[],"[1588, 115, 836, 361, 1473, 2088, 600, 1205, 736, 1893, 1807, 1235, 536, 936, 1257, 2237, 484, 1217, 835, 850]"
43,472,"AT&amp;T 210 Corded Phone, White, 1 Handset",37,[],"[2267, 504, 1423, 1299]","[2267, 494, 1091, 2027, 2266, 1031, 1106, 504, 2008, 1299, 412, 580, 821, 1423, 1183, 2127, 1382]"
44,24,"Scotch(R) Gift Wrap Tape, 0.75 x 300 Inches, 3 Pack (311)",35,"[1048, 1466, 699, 19, 551, 454, 1944]",[],"[49, 378, 2397, 89, 47, 1944, 1677, 1644, 699, 1011, 484, 551, 19, 1212, 263, 454, 220]"
45,2058,"Mead Spiral Notebook, College Ruled, 1 Subject, 70 Sheets,8 x 10.5 Inches, Assorted Colors (05512)",25,"[1050, 2359, 1624, 903, 1481, 505, 243, 1372, 800, 557, 890, 206, 2168, 1204, 1924, 1134, 1464]",[],"[1050, 903, 215, 1082, 774, 1367, 1464, 494, 505, 34, 1617, 206, 1969, 2386, 2078, 1134, 2359, 1481, 1925, 1949, 890, 1259, 1924, 842, 1624, 1135, 243, 800, 871, 484, 2168, 1139, 557, 1755, 1336, 1324]"
46,2059,Brother TN-560 High-Yield Toner Cartridge - Retail Packaging,28,"[1417, 911, 1342, 2343, 705, 2055, 86, 1033, 2312, 151, 772, 187, 917, 737]",[],"[2033, 1953, 911, 1342, 705, 2237, 1988, 151, 737]"
47,1048,"Scotch Magic Tape, 1/2 x 450 Inches (104)",35,"[2057, 24, 505, 903, 34, 243, 859, 699, 587, 890, 484, 19, 551, 454, 220, 1134, 1944]",[],"[1050, 903, 2057, 115, 215, 1141, 1367, 1464, 505, 34, 1969, 2087, 1134, 587, 2359, 1352, 1481, 859, 890, 1924, 220, 842, 1624, 243, 800, 484, 2168, 19, 1921, 263, 1755, 850, 1324]"
48,243,"Filler Paper by Mead, Wide Ruled, 200 Sheets (15200)",25,"[1050, 903, 215, 774, 1204, 1367, 1464, 505, 1969, 2386, 1134, 2359, 1481, 890, 2058, 1924, 1624, 800, 2168, 1648, 557, 1755]",[],"[1050, 903, 215, 1082, 774, 1468, 1367, 1464, 979, 505, 1969, 2386, 1134, 2359, 1481, 1925, 890, 2058, 1924, 1624, 1135, 800, 865, 484, 2168, 1648, 557, 1755, 1336]"
49,561,Canon BCI-6BK Ink Tank-Black,28,[],"[1874, 937]","[269, 649, 224, 1874, 1257, 937, 2176, 237, 770, 1436, 586, 673, 444, 2150]"
50,1128,Brother HL-1440 Laser Printer,29,"[1975, 2055, 606, 917, 870, 2010, 2243, 1392, 2043, 718, 1412, 86, 1030, 1108, 2033, 1417, 1607, 705, 1033]","[2055, 86]",[]
51,504,"AT&amp;T 210 Corded Phone, Black, 1 Handset",37,[],"[2267, 472]","[2419, 2394, 1031, 2008, 1423, 1299, 412, 580, 821, 472, 1183, 1382]"
52,938,"Epson Bright White Paper (8.5x11 Inches, 500 Sheets) (S041586)",25,"[273, 1461, 1656, 447, 49, 458, 451, 1610, 2202, 111, 74, 1819, 1066, 1582, 79, 1257, 182, 459, 947]",[],"[1193, 681, 447, 355, 319, 2186, 458, 179, 89, 451, 281, 230, 1353, 1011, 406, 1610, 2107, 112, 111, 88, 427, 74, 823, 248, 1782, 79, 2040, 696, 1257, 182, 58, 508]"
53,1319,Canon LS-82Z Calculator,4,[],"[1583, 1976, 1317]","[2247, 516, 1317, 115, 840, 361, 1151, 963, 49, 1309, 494, 378, 2088, 505, 2102, 89, 407, 633, 1260, 1297, 1969, 112, 745, 2078, 966, 1357, 587, 1134, 944, 1159, 171, 1008, 699, 2325, 1583, 1264, 1370, 421, 1235, 1322, 1212, 843, 2237, 484, 1333, 2116, 1343, 769, 1976, 736, 557, 1368, 850, 139]"
54,2060,DYMO LetraTag Personal Label Maker 11944 Silver,24,"[1285, 833, 1127, 103, 1105, 2165, 851, 108, 253, 1276, 296, 1170, 71]",[],[]
55,1612,HP 57 Tri-Color Ink Cartridge in Retail Packaging,28,[],"[1507, 1070]","[1783, 717, 1914, 1569, 1505, 49, 1537, 1070, 1014, 978, 952, 2136, 950, 1076, 1079, 1507, 2121, 887, 911, 1253, 1995, 1077, 1775, 1640, 2122, 1229, 769, 1369]"
56,1049,Sharp Electronics EL243SB 8-Digit Twin Powered Calculator,4,[],"[1151, 1583, 1976]","[2247, 1050, 115, 774, 1151, 1628, 494, 378, 1473, 2088, 505, 407, 1662, 1056, 1969, 112, 1013, 966, 587, 1134, 147, 1481, 1583, 890, 1264, 846, 421, 1322, 1212, 2381, 1624, 243, 2214, 557, 1396, 484, 1333, 195, 769, 1976, 19, 1148, 835, 1336, 139]"
57,447,"HP Multipurpose Copy/Laser/Inkjet Paper, 96 Brightness, 20 lb, Letter Size (8.5 x 11), 500 Sheets (11200-0)",25,"[1918, 1582, 938, 1819, 243, 1257, 273, 1058, 1461, 1066, 1222, 49, 1368, 487, 947]",[],"[706, 541, 1050, 903, 1783, 1141, 840, 1509, 1367, 1464, 505, 281, 451, 1260, 1056, 2386, 111, 1134, 718, 1066, 890, 770, 2058, 187, 452, 1624, 897, 648, 693, 243, 800, 1257, 761, 692, 484, 1327, 2168, 19, 736, 826, 1000]"
58,730,"Whitmor 6056-344-N Supreme Cart, Chrome",2,[1474],[],[2130]
59,2061,Sharp EL-344TB Twin Power 10-Digit Calculator with Kick Stand,4,[],"[1583, 1976]","[2247, 516, 1676, 115, 361, 1800, 494, 378, 2088, 1103, 633, 1969, 745, 966, 1635, 587, 944, 1159, 699, 2325, 1583, 1264, 846, 421, 1322, 1212, 1812, 842, 735, 2237, 1396, 484, 2116, 1234, 769, 1976, 736, 1713, 557, 1049, 850, 139]"
60,2062,Epson Stylus Photo 2200 Ink Jet Printer (C11C387011),29,"[2184, 896, 694, 426, 1314, 1256, 1570, 862, 1632, 1093, 427, 567, 1073, 369, 336, 2292, 657, 716, 1301, 696, 1262, 1482, 1298, 459, 1494]",[],[]
61,1613,TeleZapper TZ 900,0,[],[],[]
62,1050,"Mead Filler Paper, College Ruled, 200 Sheets (15326)",25,"[2359, 1624, 215, 903, 505, 1481, 243, 1755, 890, 206, 2058, 1969, 2168, 2386, 557, 1134, 1464]",[],"[903, 215, 1082, 774, 1468, 599, 1367, 1464, 505, 34, 1755, 53, 206, 1969, 2386, 2070, 1134, 2359, 1481, 1925, 1636, 890, 2058, 1924, 1624, 243, 800, 865, 484, 1327, 2168, 557, 1665, 1336, 1559]"
63,887,HP 56 C6656AN#140 Ink Cartridge in Retail Packaging-Black,28,[],"[950, 1507, 1070]","[541, 717, 1914, 772, 1744, 1882, 1070, 1014, 978, 2136, 950, 1079, 1507, 2376, 2121, 1253, 1077, 1506, 1640, 2122, 648, 1229, 1612, 1676]"
64,1207,"Panasonic KX-TS105W Corded Phone, White",37,[],[1423],"[472, 1382]"
65,2063,Canon CanoScan LiDE 30 Scanner,30,"[750, 1718, 477, 743, 470, 1435, 866, 1734, 307, 814, 1486, 860, 1101, 1982, 709, 2156, 1374]","[814, 477, 470]",[]
66,1051,"3M Keyboard cleaner kit, White (674)",11,[],[],"[971, 1060, 704, 2012, 736, 997]"
67,1129,"Memorex White CD Labels, Matte Finish. 300 Count (32020403)",22,"[1653, 2141, 1634, 949]",[],"[1634, 2202, 1510, 2227, 484, 1222, 587, 949, 1676]"
68,282,"3M Adjustable In-Line Document Holder with Elastic Line Guide, 18 in Wide, 300 Sheet Capacity, Weighted Base, Black",11,"[629, 1192, 293, 1675, 1318, 1614]",[],"[1588, 344, 1460, 293, 1580, 835, 1479, 1614]"
69,152,"Avery&reg; White Shipping Labels for Laser Printers with  TrueBlock(TM) Technology, 2 inches x 4 inches, Pack of 250 (5263)",22,"[38, 1153, 460, 334, 1800, 304, 439, 1625, 1816, 112, 1231, 142, 1018, 109, 249, 392, 466, 1817, 2384, 915]",[],"[516, 320, 115, 38, 460, 334, 313, 151, 1800, 49, 304, 439, 378, 2068, 1466, 1662, 407, 1625, 112, 1231, 142, 966, 109, 587, 392, 249, 1807, 699, 1933, 1264, 421, 1817, 1322, 382, 220, 1178, 484, 420, 1234, 736, 1378]"
70,214,Avery Index Maker Clear Label Dividers with 5 White Tabs 25 Count (11446),22,"[114, 82, 1472, 557, 1104, 1309]",[],"[516, 1676, 840, 313, 1800, 439, 1309, 378, 356, 2195, 203, 1104, 109, 587, 1807, 1933, 1264, 421, 1322, 484, 2116, 1234, 736, 557, 589, 139]"
71,1798,"Fellowes Gel Crystal Mousepad/Wrist Rest, Blue (91141)",11,"[2241, 59, 268, 798, 1797, 2238, 1320, 1361, 1795, 835]",[],"[2241, 89, 268, 1107, 798, 1614, 835, 1797, 124, 2211, 421, 1361, 1795, 587, 139]"
72,109,"Avery Easy Peel White Mailing Labels for Laser Printers, 1 x 2.62 Inch, Box of 3000 Labels (5160)",22,"[1447, 2004, 460, 249, 133, 1625, 463, 1684, 7, 112, 1231, 142, 1800, 1018, 439, 392]",[],"[1918, 516, 893, 460, 590, 151, 1800, 49, 439, 494, 378, 407, 2101, 142, 1231, 966, 1018, 1357, 392, 1807, 171, 699, 1933, 2271, 1370, 421, 1322, 1462, 484, 1921, 736, 139]"
73,629,Fellowes Wire Study Stand-Silver (10024),11,"[1675, 1318, 1192]",[],"[998, 1239, 1192, 1228, 361, 1519, 1205, 1675, 1318, 589, 1015, 37, 1324]"
74,1797,"Fellowes Gel Crystals Wrist Rest, Blue (91137)",11,"[499, 2054, 2241, 1798, 268, 798, 2238, 1320, 1361, 835, 2211]",[],"[1473, 2241, 1798, 268, 798, 1614, 1637, 835, 2211, 1580]"
75,1320,Belkin F8E262-BLU WaveRest Gel Mouse Pad (Blue),11,"[2241, 536, 59, 1798, 268, 798, 1361, 1795, 835]",[],"[115, 1228, 124, 49, 494, 1473, 1205, 2238, 112, 109, 1167, 1134, 1807, 699, 1235, 1322, 936, 798, 2237, 1614, 835, 1676]"
76,1448,"Avery Magnet Sheets, 8.5 x 11 Inches, White (03270)",25,[],[],"[438, 843, 1807, 505, 1642, 941, 393, 1644, 267, 94, 635, 2107, 112, 1328, 304, 37]"
77,836,Allsop Monitor Stand Metal Art Jr. - Pewter (27021),11,[],[1860],"[115, 375, 1752, 1861, 1473, 758, 1239, 1013, 1479, 587, 846, 421, 1616, 1580, 536, 1860, 2116, 740, 835, 850, 1614]"
78,1799,Avery Laser &amp; Ink Jet White 3 x 5 Inch Index Cards 150 Count (5388),25,"[215, 2290, 1611, 893, 865, 75, 2374, 1624]",[],"[1447, 516, 1699, 1800, 49, 304, 494, 2088, 222, 2290, 1611, 2102, 1137, 94, 112, 142, 109, 392, 75, 421, 1577, 1015, 1624, 941, 368, 2095, 484, 2116, 769, 263]"
79,536,Belkin 8-by-9-Inch Mouse Pad (Black),11,"[834, 936, 600, 704, 1205, 1891, 155, 1974, 997]",[],"[834, 630, 1555, 704, 2237, 587, 1583, 850, 795, 835, 1479, 1170, 997, 139]"
80,1800,"Avery Shipping Labels for Laser Printers with TrueBlock Technology, 3.333 x 4 Inches, White, Box of 600 (5164)",22,"[38, 460, 1379, 334, 304, 439, 2039, 1625, 1816, 112, 1231, 142, 109, 249, 152, 466, 68, 2384, 915, 1796]",[],"[516, 1676, 151, 49, 439, 494, 357, 378, 2039, 407, 1625, 1231, 966, 1357, 109, 1713, 911, 1807, 171, 699, 1933, 1264, 421, 1817, 1322, 214, 1988, 484, 2116, 736, 2214, 1378, 139]"
81,196,"Fellowes Shredder Oil, 12 oz. Bottle with Extension Nozzle (35250)",24,[],"[2047, 1109, 156]","[2047, 924, 143, 581, 1243, 876, 532, 156, 1245, 217, 992, 1330, 488, 1109, 625, 1873, 525, 622]"
82,1614,Fellowes Standard Foot Rest,20,"[1090, 423, 443, 293, 658, 1580]",[],"[2140, 375, 836, 940, 282, 1575, 2238, 1320, 1361, 1479, 587, 1694, 1583, 214, 798, 740, 835, 2211, 1676]"
83,837,"Quartet Ultima Easel, Whiteboard/Flipchart, 27 x 34 Inches, Reversible, Black Frame (101EL)",26,"[1730, 1136]",[],"[1217, 1730, 1390, 5, 49, 527, 494, 2088, 275, 1662, 414, 518, 1663, 1216, 1013, 1136, 1637, 421, 1322, 843, 484, 2116, 769, 2168, 1821, 736, 557]"
84,1321,"Rubbermaid Extra Deep Desk Drawer Director Tray, Plastic, 11.875 x 15 x 2.5 Inches, Black (11906ROS)",11,[],[],"[1398, 115, 361, 124, 494, 378, 630, 1473, 633, 1728, 53, 587, 1694, 1615, 998, 1008, 699, 1583, 850, 421, 1235, 1616, 1322, 1107, 2237, 1343, 736, 835, 589, 139]"
85,1130,"Swingline GBC UltraClear Thermal Laminating Pouches, Menu Size, 3 Mil, 25 Pack (3200579)",1,"[908, 437, 1081, 1699, 901, 1098, 635, 104, 1501, 1075, 25, 1163, 665]",[],"[516, 1752, 1098, 151, 494, 383, 2068, 1081, 2005, 2125, 94, 635, 1357, 1807, 1364, 75, 1264, 1501, 1075, 421, 1322, 2205, 1577, 908, 437, 901, 1396, 484, 769, 420, 104, 25]"
86,998,"Rolodex Mesh Collection Business Card Holder, Black (22251ELD)",11,"[1615, 2037, 1107, 1008, 361, 501, 1675, 1343, 1616, 850, 2064, 1235, 2297, 1941, 587, 1694]",[],"[1398, 2072, 115, 361, 2064, 963, 1628, 494, 378, 630, 1473, 2037, 1575, 633, 1260, 1941, 966, 2087, 587, 1694, 1615, 944, 1008, 699, 1583, 1675, 1235, 1322, 1616, 1107, 2333, 2237, 1419, 484, 1321, 1343, 1396, 1921, 736, 850, 139]"
